Country,"Cost per GB, excl conn (US$ PPP)",Country Code
Malawi,33.53809418,MWI
Bangladesh,33.48636728,BGD
Kenya,33.4448488,KEN
Tanzania,33.43399106,TZA
Canada,33.3937817,CAN
Tanzania,33.32648627,TZA
Tanzania,33.32648627,TZA
Benin,33.26405236,BEN
Tajikistan,33.22176639,TJK
Uganda,33.18299142,UGA
Poland,33.17979094,POL
Uganda,33.11527103,UGA
Madagascar,33.07969737,MDG
Mexico,33.05286172,MEX
Malawi,32.8583829,MWI
Malawi,32.8583829,MWI
Nigeria,32.78149547,NGA
Peru,32.70385107,PER
Kyrgyzstan,32.60814095,KGZ
Mexico,32.46755062,MEX
Mexico,32.46755062,MEX
Mali,32.45249299,MLI
Mali,32.45249299,MLI
Germany,32.44305891,DEU
Philippines,32.40170243,PHL
Portugal,32.37239448,PRT
Uganda,32.35566517,UGA
Germany,32.34707353,DEU
China,32.27508718,CHN
Cote d'Ivoire,32.22127941,CIV
Burkina Faso,32.18373073,BFA
Zimbabwe,32,ZWE
Bangladesh,31.95730941,BGD
Hungary,31.878865,HUN
Bangladesh,31.78911305,BGD
Czech Republic,31.69867492,CZE
Uganda,31.54553354,UGA
Bangladesh,31.5368185,BGD
Mozambique,31.410104,MOZ
Madagascar,31.35770088,MDG
Afghanistan,31.34800674,AFG
Bangladesh,31.19188454,BGD
Uganda,31.10905446,UGA
Angola,30.98323795,AGO
Angola,30.98323795,AGO
United Kingdom,30.98127859,GBR
United Kingdom,30.98127859,GBR
Indonesia,30.88838554,IDN
Netherlands,30.87331726,NLD
Romania,30.8407747,ROM
Romania,30.8407747,ROM
Bangladesh,30.83600031,BGD
Peru,30.74712486,PER
Peru,30.72272238,PER
Haiti,30.64238218,HTI
Bulgaria,30.63772568,BGR
Yemen,30.49925592,YEM
Chile,30.46370493,CHL
South Africa,30.36922272,ZAF
Ecuador,30.31963251,ECU
Iraq,30.30533756,IRQ
Bangladesh,30.27534576,BGD
South Africa,30.27351366,ZAF
Greece,30.19615924,GRC
Ghana,30.13912464,GHA
Australia,30.10973705,AUS
Philippines,30.06708195,PHL
Mexico,29.96792796,MEX
Bolivia,29.93921311,BOL
Tajikistan,29.90905465,TJK
Bolivia,29.89820049,BOL
Bolivia,29.89820049,BOL
Bolivia,29.89820049,BOL
Bolivia,29.89820049,BOL
Czech Republic,29.88652552,CZE
Mexico,29.86808077,MEX
South Africa,29.76183827,ZAF
Azerbaijan,29.75544293,AZE
South Africa,29.74527324,ZAF
Saudi Arabia,29.73623223,SAU
Bolivia,29.72848528,BOL
Chile,29.62920669,CHL
Chile,29.62920669,CHL
Switzerland,29.49109341,CHE
Kyrgyzstan,29.34096222,KGZ
Cote d'Ivoire,29.23491693,CIV
South Africa,29.20598946,ZAF
Uzbekistan,29.17477531,UZB
Nigeria,29.14691081,NGA
Nigeria,29.14691081,NGA
Uganda,29.11513866,UGA
Kenya,28.99842381,KEN
Kenya,28.99842381,KEN
Kenya,28.99842381,KEN
Nicaragua,28.91681647,NIC
Peru,28.90327601,PER
Bangladesh,28.89919368,BGD
Uganda,28.84888642,UGA
South Africa,28.81210985,ZAF
Paraguay,28.73820326,PRY
Singapore,28.7025802,SGP
Nigeria,28.67544579,NGA
Bolivia,28.46471175,BOL
Ghana,28.43896889,GHA
Benin,28.40416144,BEN
Peru,28.26457923,PER
South Africa,28.12005968,ZAF
South Africa,28.08251228,ZAF
Bangladesh,28.06284083,BGD
South Africa,28.04481763,ZAF
Kenya,28.03180968,KEN
Kenya,28.03180968,KEN
South Africa,28.01968787,ZAF
Rwanda,27.98114075,RWA
Nigeria,27.98103437,NGA
Tanzania,27.95124655,TZA
Kenya,27.93514827,KEN
Kenya,27.93514827,KEN
Argentina,27.93472,ARG
Argentina,27.93472,ARG
Tanzania,27.90645288,TZA
South Africa,27.89403904,ZAF
Guatemala,27.88862264,GTM
Guatemala,27.88862264,GTM
Guatemala,27.88862264,GTM
Venezuela,27.87165085,VEN
Zambia,27.83988044,ZMB
Zambia,27.83988044,ZMB
Turkey,27.79910336,TUR
Turkey,27.79910336,TUR
Kenya,27.79015615,KEN
Kenya,27.79015615,KEN
Kenya,27.79015615,KEN
Kenya,27.79015615,KEN
Australia,27.43887707,AUS
Australia,27.43887707,AUS
Mozambique,27.40939133,MOZ
Spain,27.34943344,ESP
Niger,27.34683168,NER
Ecuador,27.28766926,ECU
Iraq,27.2748038,IRQ
Korea (South),27.23914771,KOR
South Africa,27.20346132,ZAF
South Africa,27.20346132,ZAF
South Africa,27.20346132,ZAF
Mozambique,27.15470254,MOZ
Kenya,27.06519556,KEN
United Kingdom,27.05039824,GBR
United Arab Emirates,27.03904386,ARE
Mozambique,27.010256,MOZ
Malawi,26.91758727,MWI
Brazil,26.91521844,BRA
Serbia,26.90648154,SRB
Chile,26.83890966,CHL
United Arab Emirates,26.77113406,ARE
Tanzania,26.76869381,TZA
Kenya,26.75587904,KEN
Poland,26.74852489,POL
Mexico,26.72434046,MEX
Bangladesh,26.70117299,BGD
Nepal,26.63499456,NPL
Spain,26.52264558,ESP
Pakistan,26.48476498,PAK
Serbia,26.47153842,SRB
South Africa,26.45803495,ZAF
Brazil,26.37997262,BRA
Ecuador,26.37808028,ECU
Ecuador,26.37808028,ECU
Malawi,26.28670632,MWI
Zambia,26.23274818,ZMB
Sierra Leone,26.20682354,SLE
Colombia,26.14668828,COL
Syria,26.10972983,SYR
South Africa,26.10188679,ZAF
Mexico,26.08651204,MEX
Mexico,26.0807737,MEX
Mexico,25.96026847,MEX
Germany,25.94164908,DEU
China,25.90890026,CHN
Brazil,25.90207457,BRA
Tajikistan,25.88826309,TJK
Zambia,25.8515054,ZMB
Chile,25.83329409,CHL
Angola,25.82118194,AGO
Germany,25.8200676,DEU
Poland,25.80014778,POL
Chile,25.72785207,CHL
Algeria,25.64606438,DZA
Zimbabwe,25.6,ZWE
Haiti,25.50786115,HTI
Czech Republic,25.46973806,CZE
Ethiopia,25.39548991,ETH
Uganda,25.3951465,UGA
Mexico,25.3845978,MEX
Kazakhstan,25.38319549,KAZ
Belarus,25.31692604,BLR
Mali,25.28468599,MLI
Mali,25.28468599,MLI
Germany,25.2711512,DEU
Bulgaria,25.26976886,BGR
Uganda,25.23642683,UGA
Bangladesh,25.2294548,BGD
Malaysia,25.2211464,MYS
Malaysia,25.2211464,MYS
Nigeria,25.21653497,NGA
Pakistan,25.16052674,PAK
Kenya,25.1319673,KEN
Portugal,25.01149294,PRT
Portugal,25.01149294,PRT
Kyrgyzstan,25.00240345,KGZ
Pakistan,25.00161815,PAK
Portugal,24.98753557,PRT
Brazil,24.87618674,BRA
Peru,24.7968756,PER
Kazakhstan,24.7962091,KAZ
Romania,24.71830979,ROM
Netherlands,24.70961962,NLD
Netherlands,24.70048145,NLD
Chile,24.69100557,CHL
Mexico,24.65192603,MEX
Peru,24.59769989,PER
Switzerland,24.57591118,CHE
Tanzania,24.51403271,TZA
Tanzania,24.51403271,TZA
Madagascar,24.49865602,MDG
Argentina,24.41216,ARG
Philippines,24.40739593,PHL
Peru,24.37563732,PER
Uzbekistan,24.31231276,UZB
Portugal,24.28079319,PRT
Portugal,24.28079319,PRT
Uganda,24.26674887,UGA
Uganda,24.26261555,UGA
Uganda,24.26261555,UGA
Uganda,24.26261555,UGA
Ecuador,24.25570601,ECU
Mozambique,24.19963197,MOZ
China,24.1915103,CHN
Ukraine,24.16448944,UKR
Belgium,24.12621732,BEL
Netherlands,24.12156391,NLD
Ghana,23.9567401,GHA
France,23.90804446,FRA
Ghana,23.85370035,GHA
Ghana,23.85370035,GHA
Mozambique,23.85354263,MOZ
Venezuela,23.81993501,VEN
Ghana,23.80218048,GHA
Peru,23.70424503,PER
Ghana,23.69914074,GHA
Ghana,23.69914074,GHA
Ghana,23.69914074,GHA
Cote d'Ivoire,23.69013083,CIV
Madagascar,23.68106944,MDG
Madagascar,23.68106944,MDG
Madagascar,23.68106944,MDG
Nigeria,23.68040183,NGA
Nigeria,23.68040183,NGA
Nigeria,23.68040183,NGA
Ecuador,23.64931336,ECU
Ecuador,23.64931336,ECU
China,23.62452178,CHN
China,23.62452178,CHN
Spain,23.57810845,ESP
Slovak Republic,23.54605599,SVK
Slovak Republic,23.48798927,SVK
Australia,23.42703626,AUS
Peru,23.40398013,PER
Jordan,23.3980484,JOR
Zambia,23.38407371,ZMB
"Taiwan, China",23.35632828,TWN
Paraguay,23.34979015,PRY
Rwanda,23.32527497,RWA
Tajikistan,23.25996892,TJK
Syria,23.20864874,SYR
Kenya,23.19873905,KEN
Kenya,23.19873905,KEN
Romania,23.18769357,ROM
Saudi Arabia,23.18447573,SAU
Thailand,23.16407618,THA
Thailand,23.16407618,THA
Mozambique,23.15497459,MOZ
Cote d'Ivoire,23.08256114,CIV
Zimbabwe,23.04,ZWE
Portugal,23.03314667,PRT
Spain,23.02549653,ESP
Portugal,23.01611032,PRT
Portugal,23.01611032,PRT
Ukraine,22.97607193,UKR
Bangladesh,22.87240612,BGD
Mali,22.7611334,MLI
Mali,22.7611334,MLI
South Africa,22.73090307,ZAF
Mozambique,22.71974767,MOZ
Thailand,22.62708372,THA
Mozambique,22.61227988,MOZ
Kazakhstan,22.60690849,KAZ
Mali,22.48255941,MLI
Kenya,22.42544775,KEN
Senegal,22.42275573,SEN
Colombia,22.40328264,COL
"Hong Kong, China",22.3831712,HKG
