Country,"Cost per GB, excl conn (US$ PPP)",Country Code
Guatemala,28.88,GTM
Guatemala,13.21,GTM
Guatemala,7.44,GTM
Guatemala,12.45,GTM
Guatemala,8.91,GTM
Guatemala,7.6,GTM
Guatemala,5.56,GTM
Guatemala,4.08,GTM
Guatemala,5.83,GTM
Guatemala,2.99,GTM
Guatemala,7.47,GTM
Guatemala,8.3,GTM
Guatemala,28.88,GTM
Guatemala,13.21,GTM
Guatemala,7.44,GTM
Haiti,"3,263.38",HTI
Haiti,"1,631.69",HTI
Haiti,"1,223.77",HTI
Haiti,815.84,HTI
Haiti,50.99,HTI
Haiti,50.99,HTI
Haiti,97.9,HTI
Honduras,18.95,HND
Honduras,11.37,HND
Honduras,8.34,HND
Honduras,5.69,HND
Honduras,75.82,HND
Honduras,137.41,HND
Honduras,113.72,HND
Honduras,135.38,HND
Honduras,388.17,HND
Honduras,291.13,HND
Honduras,388.17,HND
Honduras,363.91,HND
Honduras,22.74,HND
Honduras,15.16,HND
Honduras,8.34,HND
Honduras,5.69,HND
Honduras,5.69,HND
Honduras,5.69,HND
Honduras,3.9,HND
Honduras,6.5,HND
Honduras,3.81,HND
Honduras,7.14,HND
Honduras,9.52,HND
"Hong Kong, China",185.37,HKG
"Hong Kong, China",37.83,HKG
"Hong Kong, China",37.83,HKG
"Hong Kong, China",37.83,HKG
"Hong Kong, China",37.83,HKG
"Hong Kong, China",52.02,HKG
"Hong Kong, China",13.67,HKG
"Hong Kong, China",8.09,HKG
"Hong Kong, China",6.38,HKG
"Hong Kong, China",5.52,HKG
"Hong Kong, China",37.83,HKG
"Hong Kong, China",12.56,HKG
"Hong Kong, China",47.29,HKG
"Hong Kong, China",37.83,HKG
"Hong Kong, China",#VALUE!,HKG
"Hong Kong, China",#VALUE!,HKG
"Hong Kong, China",#VALUE!,HKG
"Hong Kong, China",34.54,HKG
"Hong Kong, China",10.6,HKG
"Hong Kong, China",#VALUE!,HKG
"Hong Kong, China",23.96,HKG
"Hong Kong, China",16.26,HKG
"Hong Kong, China",#VALUE!,HKG
"Hong Kong, China",#VALUE!,HKG
"Hong Kong, China",#VALUE!,HKG
"Hong Kong, China",8.13,HKG
Hungary,7.65,HUN
Hungary,6.12,HUN
Hungary,3.83,HUN
Hungary,3.58,HUN
Hungary,2.3,HUN
Hungary,8.36,HUN
Hungary,4.97,HUN
Hungary,2.75,HUN
Hungary,7.77,HUN
Hungary,6.23,HUN
Hungary,7.67,HUN
Hungary,12.28,HUN
Hungary,4.12,HUN
Hungary,3.35,HUN
Hungary,2.82,HUN
Hungary,6.23,HUN
Hungary,7.77,HUN
Hungary,7.6,HUN
Hungary,153.19,HUN
Hungary,78.56,HUN
Hungary,31.42,HUN
Hungary,11.89,HUN
Hungary,9.78,HUN
Hungary,7.8,HUN
Hungary,3.59,HUN
Hungary,10.84,HUN
Hungary,19.1,HUN
Hungary,10.2,HUN
India,17.36,IND
India,12.71,IND
India,11.44,IND
India,11.07,IND
India,7.63,IND
India,11.02,IND
India,9.53,IND
India,8.64,IND
India,8.05,IND
India,7.95,IND
India,7.65,IND
India,17.18,IND
India,12.97,IND
India,11.57,IND
India,9.6,IND
India,#VALUE!,IND
India,17.01,IND
India,12.71,IND
India,11.86,IND
India,11.44,IND
India,10.15,IND
India,7.63,IND
India,7.2,IND
India,6.36,IND
India,156.21,IND
India,12.71,IND
India,11.44,IND
India,7.63,IND
India,4.83,IND
India,4.07,IND
India,17.36,IND
India,20.83,IND
India,15.62,IND
India,16.84,IND
India,20.62,IND
India,12.56,IND
India,11.39,IND
India,10.62,IND
India,8.8,IND
India,12.97,IND
India,11.86,IND
India,11.42,IND
India,11.02,IND
India,6.36,IND
India,5.08,IND
India,4.98,IND
India,8.14,IND
India,7.2,IND
India,5.59,IND
India,4.41,IND
India,17.36,IND
India,12.71,IND
India,12.71,IND
India,12.69,IND
India,11.02,IND
India,8.13,IND
India,5.08,IND
India,7.95,IND
India,14.93,IND
India,17.7,IND
India,12.66,IND
India,11.42,IND
India,8.64,IND
India,7.63,IND
Indonesia,10.33,IDN
Indonesia,15.33,IDN
Indonesia,11.58,IDN
Indonesia,77.14,IDN
Indonesia,4.94,IDN
Indonesia,3.98,IDN
Indonesia,3.76,IDN
Indonesia,15.49,IDN
Indonesia,7.56,IDN
Indonesia,7.56,IDN
Indonesia,6.05,IDN
Indonesia,7.56,IDN
Indonesia,9.45,IDN
Indonesia,9.72,IDN
Indonesia,6.05,IDN
Indonesia,5.04,IDN
Indonesia,6.62,IDN
Indonesia,7.88,IDN
